title,link,guid,atom,description,creator,pubDate,category,media_content,media_credit,media_description
India’s Restaurants Rebel Against Food Delivery Apps,https://www.nytimes.com/2019/08/29/technology/india-restaurants-logout-delivery-zomato.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/technology/india-restaurants-logout-delivery-zomato.html,https://www.nytimes.com/2019/08/29/technology/india-restaurants-logout-delivery-zomato.html?emc=rss&partner=rss,"Frustrated by the steep commissions and discounts that apps like Zomato and Uber Eats push on restaurants, thousands have started a movement to #Logout from them.",Vindu Goel and Ayesha Venkataraman,"Fri, 30 Aug 2019 14:37:44 +0000","['India', 'Restaurants', 'Delivery Services', 'Mobile Applications', 'Indian Food (Cuisine)', 'Discount Selling', 'Prices (Fares, Fees and Rates)', 'Uber Eats', 'Zomato Media Pvt Ltd', 'Swiggy (Bundl Technologies Pvt Ltd)']",https://static01.nyt.com/images/2019/08/30/business/30jpindianwalkout1-print/00indianwalkout2-moth.jpg,Sahiba Chawdhary for The New York Times,"A Zomato delivery agent collecting a delivery order at a restaurant in the Galleria Market in Gurugram, a New Delhi suburb home to many tech companies, including Zomato."
"Uber, Lyft and DoorDash Pledge $90 Million to Fight Driver Legislation in California",https://www.nytimes.com/2019/08/29/technology/uber-lyft-ballot-initiative.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/technology/uber-lyft-ballot-initiative.html,https://www.nytimes.com/2019/08/29/technology/uber-lyft-ballot-initiative.html?emc=rss&partner=rss,"A state proposal, Assembly Bill 5, could give working drivers more employee rights. The companies said they were willing to start a ballot initiative to thwart it.",Kate Conger,"Fri, 30 Aug 2019 15:19:28 +0000","['California', 'Law and Legislation', 'Car Services and Livery Cabs', 'Freelancing, Self-Employment and Independent Contracting', 'Uber Technologies Inc', 'Lyft Inc', 'DoorDash (Mobile App)', 'Referendums', 'Wages and Salaries', 'State Legislatures', 'Labor and Jobs']",https://static01.nyt.com/images/2019/08/30/business/29gigworkers-print/29gigworkers-moth.jpg,Aileen Son for The New York Times,Travelers waiting for rides to arrive at San Francisco International Airport. Uber and Lyft are fighting a bill in California that would change the legal designation of their drivers.
Peloton Is a Phenomenon. Can It Last?,https://www.nytimes.com/2019/08/28/technology/peloton-ipo.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/28/technology/peloton-ipo.html,https://www.nytimes.com/2019/08/28/technology/peloton-ipo.html?emc=rss&partner=rss,Exercise manias like the Thighmaster and Tae Bo have all come and gone. Peloton is trying to defy that trend.,Erin Griffith,"Thu, 29 Aug 2019 04:54:38 +0000","['Peloton Interactive Inc', 'Exercise', 'Bicycles and Bicycling', 'Venture Capital', 'Computers and the Internet', 'Inventions and Patents', 'Start-ups', 'Initial Public Offerings', 'Foley, John (Fitness Executive)']",https://static01.nyt.com/images/2019/08/28/business/28PELOTON/NYT-Peloton-Illustration-Still-moth.jpg,Pablo Rochat
The Week in Tech: Are You Ready for Facebook’s Future?,https://www.nytimes.com/2019/08/30/technology/facebook-instagram-threads.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/technology/facebook-instagram-threads.html,https://www.nytimes.com/2019/08/30/technology/facebook-instagram-threads.html?emc=rss&partner=rss,We got a glimpse of what the social network’s privacy-first focus might look like in practice. You may not love it.,Jamie Condliffe,"Fri, 30 Aug 2019 13:00:02 +0000","['Social Media', 'Facebook Inc', 'Instagram Inc', 'Huawei Technologies Co Ltd', 'Google Inc', 'Uber Technologies Inc', 'TheVerge.com', 'Levandowski, Anthony', 'Wojcicki, Susan', 'Zuckerberg, Mark E', 'Computers and the Internet', 'Computer Chips', 'Robberies and Thefts']",https://static01.nyt.com/images/2019/08/30/business/30technewsletter/30technewsletter-moth.jpg,Amr Alfiky/Associated Press,Facebook was said to be testing an app for Instagram that would let users opt in to sharing data with friends automatically.
"Don’t Use Bootleg or Street Vaping Products, C.D.C. Warns",https://www.nytimes.com/2019/08/30/health/vaping-e-cigarettes-marijuana-cdc.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/health/vaping-e-cigarettes-marijuana-cdc.html,https://www.nytimes.com/2019/08/30/health/vaping-e-cigarettes-marijuana-cdc.html?emc=rss&partner=rss,"With more than 200 cases of respiratory illnesses possibly related to vaping, and no single culprit, public health experts are advising young people not to buy cannabis and other e-cigarette products off the street.",Sheila Kaplan,"Fri, 30 Aug 2019 15:34:38 +0000","['E-Cigarettes', 'Smoking and Tobacco', 'Marijuana', 'Lungs', 'Youth', 'Centers for Disease Control and Prevention', 'Food and Drug Administration', 'your-feed-healthcare']",https://static01.nyt.com/images/2019/08/30/science/30CDC/30CDC-moth.jpg,Jim Wilson/The New York Times,An assembled cannabis vape cartridge at a facility in California.
How Tainted Gold May Have Ended Up in Your Phone,https://www.nytimes.com/2019/08/30/the-weekly/gold-apple-iphone-colombia.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/the-weekly/gold-apple-iphone-colombia.html,https://www.nytimes.com/2019/08/30/the-weekly/gold-apple-iphone-colombia.html?emc=rss&partner=rss,A New TV Show from The New York Times on FX and Hulu, ,"Fri, 30 Aug 2019 15:55:51 +0000","['Gold', 'Conflict Minerals and Resources', 'FX (TV Network)', 'Hulu.com', 'New York Times', 'Duque, Ivan', 'Colombia']",https://static01.nyt.com/images/2019/09/01/universal/01theweekly-applesgold-goldbars/01theweekly-applesgold-goldbars-moth.jpg,"""The Weekly""/The New York Times/FX/Hulu"
What Does VSCO Think About the ‘VSCO Girls’?,https://www.nytimes.com/2019/08/30/style/vsco-girls.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/style/vsco-girls.html,https://www.nytimes.com/2019/08/30/style/vsco-girls.html?emc=rss&partner=rss,We spoke to the brands behind Gen Z’s highly aestheticized (and widely parodied) personal brand.,Becky Hughes,"Fri, 30 Aug 2019 09:00:03 +0000","['Social Media', 'Photography', 'Visual Supply Co (VSCO)', 'your-feed-fashion', 'your-feed-selfcare']",https://static01.nyt.com/images/2019/09/01/fashion/30VSCO-art/30VSCO-art-moth.jpg,Ellen Weinstein
"Hospitals Should Replace Infection-Prone Scopes With Safer Models, F.D.A. Says",https://www.nytimes.com/2019/08/29/health/duodenoscopes-infections.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/health/duodenoscopes-infections.html,https://www.nytimes.com/2019/08/29/health/duodenoscopes-infections.html?emc=rss&partner=rss,"Reusable duodenoscopes, used for internal examinations of patients, have been linked to a series of hospital outbreaks.",Roni Caryn Rabin,"Fri, 30 Aug 2019 04:27:55 +0000","['Medical Devices', 'Tests (Medical)', 'Hospitals', 'Antibiotics', 'Drug Resistance (Microbial)', 'Cameras', 'Infections', 'Food and Drug Administration', 'Fujifilm Corp', 'Pentax Corp', 'Shenoy, Erica S']",https://static01.nyt.com/images/2019/08/29/science/29SCOPES/29SCOPES-moth.jpg,Science Photo Library/Getty Images,An X-ray of a duodenoscope used to evaluate a healthy patient. 
Founders of Successful Tech Companies Are Mostly Middle-Aged,https://www.nytimes.com/2019/08/29/business/tech-start-up-founders-nest.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/business/tech-start-up-founders-nest.html,https://www.nytimes.com/2019/08/29/business/tech-start-up-founders-nest.html?emc=rss&partner=rss,"Some of tech’s biggest names had founders in their teens. But new research shows that for fast-growing start-ups in the U.S., the average age was 45.",Seema Jayachandran,"Thu, 29 Aug 2019 16:18:10 +0000","['Entrepreneurship', 'Age, Chronological', 'Computers and the Internet', 'Research', 'United States Economy', 'Thermostats', 'Apple Inc', 'Fadell, Anthony M', 'Start-ups', 'Innovation', 'American Economic Review: Insights (Journal)', 'Azoulay, Pierre (Economist)', 'Kim, J Daniel (Economist)', 'Jones, Benjamin Felt', 'Miranda, Javier (Economist)']",https://static01.nyt.com/images/2019/09/01/business/00VIEW-01/00VIEW-01-moth.jpg,Wei Leng Tay/Bloomberg,"Tony Fadell started Nest in 2010, after leading the engineering team that created the iPod and playing a crucial role in the development of the iPhone. Like many entrepreneurs, he was then over 40."
Organoids Are Not Brains. How Are They Making Brain Waves?,https://www.nytimes.com/2019/08/29/science/organoids-brain-alysson-muotri.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/science/organoids-brain-alysson-muotri.html,https://www.nytimes.com/2019/08/29/science/organoids-brain-alysson-muotri.html?emc=rss&partner=rss,"Clusters of living brain cells are teaching scientists about diseases like autism. With a new finding, some experts wonder if these organoids may become too much like the real thing.",Carl Zimmer,"Thu, 29 Aug 2019 20:33:17 +0000","['Brain', 'Zika Virus', 'Laboratories and Scientific Equipment', 'Stem Cells', 'Pregnancy and Childbirth', 'Biology and Biochemistry', 'Autism', 'International Space Station', 'Biotechnology and Bioengineering', 'Cell (Journal)', 'University of California, San Diego', 'Yamanaka, Shinya', 'Muotri, Alysson', 'your-feed-science']",https://static01.nyt.com/images/2019/08/29/science/29SCI-ORGANOIDS7/merlin_159814383_3a1e10a5-c0f9-42a8-beb0-60de0cf8d87c-moth.jpg,Jenna Schoenefeld for The New York Times,"Fernanda Cugola, a postdoctoral researcher, was a part of a team examining the effects of the Zika virus on brain organoids."
